WEB_CRLN_ID,DEPT_NM,ORG_NM,BD_NM,URL,USE_YN,ETC_1,ETC_2,ELMT_TR_CSS_INF,ELMT_TITLE_CSS_INF,ELMT_RO_REG_DT_CSS_INF,ELMT_RO_REG_DT_TYP_CD,ELMT_SLNM_CSS_INF,ELMT_RO_URL_CSS_INF,ELMT_RO_TITLE_CSS_INF,ELMT_RO_BDTXT_CSS_INF,ELMT_RO_START_DT_CSS_INF,ELMT_RO_END_DT_CSS_INF,ELMT_RO_START_END_DT_TYP_CD,ELMT_RO_FILE_NM_CSS_INF,ELMT_RO_FILE_URL_CSS_INF,
20070,고용노동부,한국고용정보원,공지사항,http://www.keis.or.kr/user/bbs/main/133/761/bbsDataList.do,Y,,,div.seed_tbl table > tbody > tr,td.bbsTitle a,td:nth-of-type(3),YYYY-MM-DD,,http://www.keis.or.kr,#contents > div.content div.seed_tbl tbody > tr:nth-of-type(1) > td,#contents > div.content div.seed_tbl tbody > tr:nth-of-type(5) > td > div.seedbbsContentWrap,,,,"#contents > div.content div.seed_tbl tbody > tr:nth-of-type(3) > td > ul > li > a[href^=""/common/proc""]",http://www.keis.or.kr,
20071,고용노동부,한국고용정보원,입찰공고,http://www.keis.or.kr/user/extra/main/767/openApi/bidList/jsp/LayOutPage.do,X,NoDate,추가,,,,,,,,,,,,,,
20072,중소벤처기업부,중소벤처기업부,공지사항,http://www.smba.go.kr/site/smba/ex/bbs/List.do?cbIdx=81,Y,,,table.list > tbody > tr,td.subject a,td:nth-of-type(5),YYYY.MM.DD,,onclick,,,,,,,,
20073,중소벤처기업부,한국산학연협회,지원사업,https://plus.auri.go.kr/post/support-business,Y,Date 불필요한 정보 가공 필요,수정,div.tab-content div.business_list,a.title strong,div.sub_info p,YYYY-MM-DD,,,#post_title,#print > div.board_body,#print > div.board_title div.business,,,javascript,,"href=""javascript:downLocation('1520472067333_4921.jpg', '2018년_2회_신기술(NET)인증_신규신청_및_유효기간_연장신청_접수_공고문.jpg', '', '_csrf', '8104c517-95be-42ce-8532-4dcd00ef91a4')"""
20074,환경부,환경부,공지 공고,http://www.me.go.kr/home/web/index.do?menuId=290,Y,,page=1,table.table_case01 > tbody > tr,td.al a,td:nth-of-type(5),YYYY-MM-DD,,http://www.me.go.kr,#boardTableWrapper > header,#boardTableWrapper > div.view_con,content_WriteDate,,,#boardTableWrapper > div.view_file > ul > li > a,http://www.me.go.kr,
20075,환경부,환경부,공지 공고,http://www.me.go.kr/home/web/board/list.do?menuId=290&maxPageItems=10&maxIndexPages=10&boardMasterId=39&pagerOffset=10,Y,,page=2,table.table_case01 > tbody > tr,td.al a,td:nth-of-type(5),YYYY-MM-DD,,http://www.me.go.kr,#boardTableWrapper > header,#boardTableWrapper > div.view_con,content_WriteDate,,,#boardTableWrapper > div.view_file > ul > li > a,http://www.me.go.kr,
20076,환경부,국립환경과학원,공지사항,http://www.nier.go.kr/NIER/cop/bbs/selectNoLoginBoardList.do?bbsId=BBSMSTR_000000000012&menuNo=16001,X,,웹크롤링 적용중,div#contents table.bbs_default > tbody > tr,td.subject a,td:nth-of-type(4),YYYY-MM-DD,,,,,,,,,,
20077,환경부,국립환경과학원,입찰공고,http://www.nier.go.kr/NIER/cop/bbs/selectNoLoginBoardList.do?bbsId=BBSMSTR_000000000023&menuNo=16004,X,,"웹크롤링 적용중, 마감일: 예정중",div#contents table.bbs_default > tbody > tr,td.subject a,td:nth-of-type(4),YYYY-MM-DD,,,,,,,,,,
20078,보건복지부,보건복지부,공지사항,http://www.mohw.go.kr/react/al/sal0101ls.jsp?PAR_MENU_ID=04&MENU_ID=040102,Y,,,div.board_list table > tbody > tr,td.ta_l a,td:nth-of-type(3),YYYY-MM-DD,,onclick,,,,,,,,
20079,보건복지부,보건복지부,입찰안내,http://www.mohw.go.kr/react/al/sal0201ls.jsp?PAR_MENU_ID=04&MENU_ID=0402,Y,,,div.board_list table > tbody > tr,td.ta_l a,td:nth-of-type(3),YYYY-MM-DD,,onclick,,,,,,,,
20080,보건복지부,한국보건산업진흥원,공지사항,https://www.khidi.or.kr/board?menuId=MENU00099,X,요청 지연 예외발생,웹크롤링 적용중,div#detail_content table.tstyle_list > tbody > tr,td.ellipsis a,td:nth-of-type(4),YYYY-MM-DD,,,,,,,,,,
20081,보건복지부,한국보건산업진흥원,사업공고,https://www.khidi.or.kr/board?menuId=MENU01108,X,요청 지연 예외발생,웹크롤링 적용중,div#detail_content table.tstyle_list > tbody > tr,td.ellipsis a,td:nth-of-type(4),YYYY-MM-DD,,,,,,,,,,
20082,보건복지부,한국보건산업진흥원,입찰정보,https://www.khidi.or.kr/board?menuId=MENU00101,Y,요청 지연 예외발생,수정,div#detail_content table.tstyle_list > tbody > tr,td.ellipsis a,td:nth-of-type(5),YYYY-MM-DD,,https://www.khidi.or.kr,#detail_content > article > h1,#detail_content > article > div.viewContent,,#detail_content > article tbody > tr:nth-of-type(4) > td:nth-of-type(2),,#detail_content > article tbody > tr:nth-of-type(5) > td > ul > li > a,https://www.khidi.or.kr,
20083,보건복지부,보건의료R&D포털,공지사항,https://www.htdream.kr/businessParticipateNotice/BusinessParticipateNoticeList.do,Y,,수정,div.table-wrap table.board > tbody > tr,td.text-left a,td:nth-of-type(4),YYYY-MM-DD,,href=javascript,,,,,,,,
20084,보건복지부,보건의료R&D포털,사업공고,https://www.htdream.kr/main/pubAmt/PubAmtList.do,Y,Date 불필요한 정보 가공 필요,수정,div.table-wrap table.board > tbody > tr,td.Left a,td:nth-of-type(4),YYYY-MM-DD,,onclick,,,,,,,,
20085,보건복지부,국립암센터,기타공지,http://ncc.re.kr/board.ncc?uri=notice07&searchKey=total&searchValue=&pageNum=1,Y,,,div#contArea table.bbs_list > tbody > tr,td.td_title a,td:nth-of-type(2),YYYY.MM.DD,,onclick,,,,,,,,
20086,보건복지부,한국건강증진개발원,공지사항,http://www.khealth.or.kr/b/14,Y,,,table#tblBoard > tbody > tr,td.subject a,td:nth-of-type(4),YYYY-MM-DD,,onclick,,,,,,,,
20087,농림축산식품부,농림축산식품부,공지 공고,http://www.mafra.go.kr/mafra/292/subview.do,Y,타이틀에 '새글' 제거,해당부처 직접업로드,div.list table > tbody > tr,td:nth-of-type(2) p a,td:nth-of-type(2) dd.date,YYYY.MM.DD,,http://www.mafra.go.kr,div.view > div.view_top > dl > dt,div.view > div.view_contents,,,,div.view > div.file_list > ul > li > a,http://www.mafra.go.kr,
20088,농림축산식품부,농림축산검역본부,부서별 공지사항,http://www.qia.go.kr/animal/prevent/listwebQiaCom.do?type=7_depart&clear=1,Y,,,div#right table.list01 > tbody > tr,td.td01 a,td:nth-of-type(5),YYYY-MM-DD,,http://www.qia.go.kr,#contents tbody > tr:nth-of-type(2) > th,#contents tbody > tr:nth-of-type(4) > td,,,,onclick,,"onclick=""downfiles('43867');return false;"""
20089,국토교통부,국토교통부,입찰안내,http://www.molit.go.kr/USR/tender/m_83/lst.jsp,Y,타이틀에 … 표시,,table#board-list > tbody > tr,td:nth-of-type(2) a,td:nth-of-type(5),YYYY-MM-DD,,http://www.molit.go.kr/USR/tender/m_83,#board-view > tbody > tr:nth-of-type(1) > td > p,#board-view > tbody > tr:nth-of-type(1) > td > p,content_WriteDate,#board-view > tbody > tr:nth-of-type(5) > td:nth-of-type(2) > p,,"#board-view > tbody > tr > td > p > a[href^=""/LCMS""]",http://www.molit.go.kr,파일 GET 불가능
20090,국토교통부,한국시설안전공단,입찰정보,https://www.kistec.or.kr/www/brd/m_92/list.do,Y,타이틀에 '새글' 제거,,div.board-list div.list-item,p.item-subject a,div.item-information dl.date dd,YYYY-MM-DD,,https://www.kistec.or.kr/www/brd/m_92,#contents > div.notice-box > h4,#contents > div.board-view > div.view-content,,,,#contents > div.board-view dl.download-list ul > li > a,https://www.kistec.or.kr/www/brd/m_92,
20091,행정안전부,행정안전부,알립니다,http://www.mois.go.kr/frt/bbs/type013/commonSelectBoardList.do?bbsId=BBSMSTR_000000000006,Y,,,div.table_wrap table.table_style1 > tbody > tr,td.l a,td:nth-of-type(5),YYYY.MM.DD.,,http://www.mois.go.kr,#print_area > form > div.table_detail_area > h4,#print_area > form > div.table_detail_area > div.desc,,,,#print_area > form dl.download > dd > ul > li > a,http://www.mois.go.kr,
20092,행정안전부,국립과학수사연구원,공지사항,http://www.nfs.go.kr/site/nfs/ex/bbs/List.do?cbIdx=10,Y,간혈적으로 요청 불가능,,div#subContentsInnerId table.list > tbody > tr,td.aleft a,td:nth-of-type(4),YYYY.MM.DD,,onclick,,,,,,,,
20093,방송통신위원회,방송통신위원회,입찰공고,http://www.kcc.go.kr/user.do?boardId=1043&page=A05040000&dc=K05040000,Y,,,div.sub_right_con tbody > tr,td.txtL a,td:nth-of-type(5),YYYY-MM-DD,,http://www.kcc.go.kr,#contents > div > div.sub_right_con tbody > tr:nth-of-type(1) > td.table_title,#contents > div > div.sub_right_con tbody > tr:nth-of-type(4) > td,,,,#contents > div > div.sub_right_con tbody > tr:nth-of-type(3) > td:nth-of-type(1) > a,http://www.kcc.go.kr,
20094,방송통신위원회,한국방송통신전파진흥원,입찰공고,http://www.kca.kr/open_content/ko/notice/bid/notice_tender.jsp,Y,,,div.board_list table > tbody > tr,td.subject a,td:nth-of-type(5),YYYY.MM.DD,,http://www.kca.kr,#main_contents > div.real_contents table > thead > tr > td,#main_contents > div.real_contents > div.board_view tbody > tr:nth-of-type(4) > td,,,,#main_contents > div.real_contents > div.board_view tbody > tr > td > a,http://www.kca.kr,
20095,원자력안전위원회,원자력안전위원회,공지사항,http://www.nssc.go.kr/nssc/notice/news.jsp,Y,tr에 th도 포함,tr th,table.lmode tr,td.title a,td:nth-of-type(5),YYYY-MM-DD,,http://www.nssc.go.kr/nssc/notice/news.jsp,#jwxe_board > div.vmode_wrapper2 table > tr:nth-of-type(1) > td > strong,#jwxe_board > div.vmode_wrapper2 table > tr:nth-of-type(6) > td,,,,#jwxe_board > div.vmode_wrapper2 table > tr:nth-of-type(4) > td > ul > li > a,http://www.nssc.go.kr,
20096,방위사업청,방위사업청,공지사항,http://www.dapa.go.kr/user/boardList.action?boardId=I_614&siteId=dapa_kr&id=dapa_kr_040100000000,Y,,,div.boardlist_type1 table > tbody > tr,td.sbj a,td:nth-of-type(5),YYYY-MM-DD,,http://www.dapa.go.kr/user/,#content div.boardview_type1 > table > thead > tr.title span.board_sbj,#brdContent > td > div,,,,#content div.boardview_type1 tbody > tr.board_add_file > td div.files_wrap > p > a,http://www.dapa.go.kr,
20097,방위사업청,국방기술품질원,공지사항,http://www.dtaq.re.kr/ko/notice/notice.jsp,X,,해당부처에서 직접업로드,table.tbl_type02 > tbody > tr,td.tit a,td:nth-of-type(3),YYYY-MM-DD,,,,,,,,,,
20098,방위사업청,국방기술품질원,입찰공고,http://www.dtaq.re.kr/ko/notice/bidding.jsp,X,,해당부처에서 직접업로드,table.tbl_type02 > tbody > tr,td.tit a,td:nth-of-type(3),YYYY-MM-DD,,,,,,,,,,
20099,방위사업청,국립문화재연구소,공지사항,http://www.nrich.go.kr/kor/boardList.do?menuIdx=282&bbscd=32,Y,,,table.table-list > tbody > tr,td:nth-of-type(2) a,td:nth-of-type(4),YYYY.MM.DD,,http://www.nrich.go.kr/kor/,#table-wrap tbody > tr:nth-of-type(1) > td,#table-wrap tbody > tr:nth-of-type(6) > td,,,,#table-wrap tbody > tr:nth-of-type(7) > td > ul > li > a,http://www.nrich.go.kr,
20100,농촌진흥청,농촌진흥청,공지사항,http://www.rda.go.kr/board/board.do?mode=list&prgId=nei_ancmttEntry,Y,,,div.contents_in table.b_list > tbody > tr,td.board_tb_tit a,td.board_tb_date,YYYY-MM-DD,,,#sub_contents > div.contents_in tbody > tr:nth-of-type(4) > td,#sub_contents > div.contents_in tbody > tr:nth-of-type(6) > td,,,,onclick,,"onclick=""fn_download('ancmtt','100000738781','0');"""
20101,농촌진흥청,농촌진흥사업 종합관리시스템,과제공모,http://atis.rda.go.kr/rdais/portalSubjectCollect/subjectCollectList.vw?mparmTopMenu=2&mparmLeftMenu=1&findPrgsStatCd=01,Y,,,table.boardlist > tbody > tr,td.txt_left a,td:nth-of-type(4),YYYY.MM.DD,,http://atis.rda.go.kr,#form1 tbody > tr:nth-of-type(2) > td,#form1 tbody > tr:nth-of-type(3) > td,,,,onclick,http://atis.rda.go.kr,정상적인경로 아님
20102,식품의약품안전처,식품의약품안전처 연구관리시스템,사업공고,https://rnd.mfds.go.kr/#!RDBAA02F01View,X,Ajax,"해당부처 직접업로드,크롤링 적용중",,,,,,,,,,,,,,
20103,특허청,특허청,고시/공고,http://www.kipo.go.kr/kpo/user.tdf?a=user.news.announce.BoardApp&board_id=announce&catmenu=m02_01_02_01,Y,,,div.boardList table > tbody > tr,td.subject a,td:nth-of-type(5),YYYY-MM-DD,,http://www.kipo.go.kr,div.boardView tbody > tr:nth-of-type(1) > td.subject,div.boardView tbody > tr:nth-of-type(4) > td.content,,,,div.boardView tbody > tr > td > a,http://www.kipo.go.kr,
20104,특허청,한국지식재산전략원,공지사항,http://www.kista.re.kr/usr/com/prm/BBSList.do?bbsId=BBSMSTR_000000000203&menuNo=10000&upperMenuId=10,Y,타이틀에 불필요 정보(주요),verify=False,#contents_sub tbody > tr,td:nth-of-type(2) a,td:nth-of-type(4),YYYY.MM.DD,,onclick,,,,,,,,
20105,특허청,한국지식재산전략원,사업정보,http://www.kista.re.kr/usr/com/prm/BBSList.do?bbsId=BBSMSTR_000000000411&menuNo=10009&upperMenuId=10,Y,"요청지연,타이틀 불필요정보(주요)",verify=False,#contents_sub tbody > tr,td:nth-of-type(2) a,td:nth-of-type(4),YYYY.MM.DD,,onclick,,,,,,,,
20106,특허청,한국특허전략개발원,공지사항,https://www.kista.re.kr/usr/com/prm/BBSList.do?bbsId=BBSMSTR_000000000203&menuNo=10000&upperMenuId=10,Y,타이틀에 불필요 정보(주요),verify=False,div.real-con table > tbody > tr,td:nth-of-type(2) a,td:nth-of-type(4),YYYY.MM.DD,,onclick,,,,,,,,
20107,특허청,한국특허전략개발원,사업정보,https://www.kista.re.kr/usr/com/prm/BBSList.do?bbsId=BBSMSTR_000000000411&menuNo=10009&upperMenuId=10,Y,타이틀에 불필요 정보(주요),verify=False,div.real-con table > tbody > tr,td:nth-of-type(2) a,td:nth-of-type(4),YYYY.MM.DD,,onclick,,,,,,,,
20108,특허청,한국특허전략개발원,입찰공고,https://www.kista.re.kr/usr/com/prm/BBSList.do?bbsId=BBSMSTR_000000000191&menuNo=10001&upperMenuId=10,X,"NoDate,글 내용 확인불가",verify=False,,,,YYYY.MM.DD,,,,,,,,,,
20109,해양수산부,해양수산부,입찰,http://www.mof.go.kr/article/list.do?menuKey=379&boardKey=13,Y,,page=1,div.board_body table.board_list > tbody > tr,td.tx_al a,td:nth-of-type(5),YYYY. M.DD.,,http://www.mof.go.kr/article/,#board_view > h4,#board_view > div.board_cont,,,,"#board_view tbody > tr:nth-of-type(3) > td > ul > li > a[href^=""/jfile""]",http://www.mof.go.kr,
20110,해양수산부,해양수산부,입찰,http://www.mof.go.kr/article/list.do?menuKey=379&boardKey=13&currentPageNo=2,Y,,page=2,div.board_body table.board_list > tbody > tr,td.tx_al a,td:nth-of-type(5),YYYY. M.DD.,,http://www.mof.go.kr/article/,#board_view > h4,#board_view > div.board_cont,,,,"#board_view tbody > tr:nth-of-type(3) > td > ul > li > a[href^=""/jfile""]",http://www.mof.go.kr,
20111,해양수산부,해양수산부,공지사항,http://www.mof.go.kr/article/list.do?menuKey=375&boardKey=9,Y,공지글에 등록일 없음,page=1,div.board_body table.board_list > tbody > tr,td.tx_al a,td:nth-of-type(5),YYYY. M.DD.,,http://www.mof.go.kr/article/,#board_view > h4,#board_view > div.board_cont,,,,"#board_view tbody > tr:nth-of-type(3) > td > ul > li > a[href^=""/jfile""]",http://www.mof.go.kr,
20112,해양수산부,해양수산부,공지사항,http://www.mof.go.kr/article/list.do?menuKey=375&boardKey=9&currentPageNo=2,Y,공지글에 등록일 없음,page=2,div.board_body table.board_list > tbody > tr,td.tx_al a,td:nth-of-type(5),YYYY. M.DD.,,http://www.mof.go.kr/article/,#board_view > h4,#board_view > div.board_cont,,,,"#board_view tbody > tr:nth-of-type(3) > td > ul > li > a[href^=""/jfile""]",http://www.mof.go.kr,
20113,해양수산부,한국해양과학기술원,공지사항,http://www.kiost.ac.kr/cop/bbs/BBSMSTR_000000000072/selectBoardList.do,X,"Ajax, 요청시간 오래걸림,",리다이렉트로 요청실패,#content tbody > tr,td:nth-of-type(2) a,td:nth-of-type(3),YYYY-MM-DD,,http://www.kiost.ac.kr,#content > div.prog_content > div > div.bbs_detail_tit > h2,#content > div.prog_content > div > div.bbs_detail_content,,,,javascript,,"href=""javascript:fn_egov_downFile('FILE_000000000013607','0')"""
20114,해양수산부,한국해양과학기술원,입찰정보,http://www.kiost.ac.kr/cop/bbs/BBSMSTR_000000000074/selectBoardList.do,X,"Ajax, 요청시간 오래걸림,",리다이렉트로 요청실패,#content tbody > tr,td:nth-of-type(2) a,td:nth-of-type(3),YYYY-MM-DD,,http://www.kiost.ac.kr,#content > div.prog_content > div > div.bbs_detail_tit > h2,#content > div.prog_content > div > div.bbs_detail_content,,,,javascript,,"href=""javascript:fn_egov_downFile('FILE_000000000013607','0')"""
20115,해양수산부,국립해양조사원,입찰공고,http://www.khoa.go.kr/user/bbs/selectBbsList.do?bbsMasterSeq=BOARD_MST_0000000002,X,,크롤링 적용중,table.boardtype1 > tbody > tr,td.title a,td:nth-of-type(4),YYYY-MM-DD,,,,,,,,,,
20116,기타,경기도 R&D 기술개발관리시스템,공지사항,http://pms.gbsa.or.kr/ext/info/info_01.jsp?menuId=4&leftId=1&BBS_ID=001,Y,,수정,div#cont_bbs table.table_01 > tbody > tr,td.td012 a,td:nth-of-type(4),YYYY-MM-DD,,href=javascript,#contents > form tbody > tr:nth-of-type(1) > td,#contents > form tbody > tr:nth-of-type(4) > td,,,,#downloadList > tbody > tr > td > a,,
20117,기타,경기도 R&D 기술개발관리시스템,사업공고,http://pms.gbsa.or.kr/ext/info/info_02.jsp?menuId=4&leftId=2,Y,,수정,div#cont_bbs table.table_01 > tbody > tr,td.td012 a,td:nth-of-type(4),YYYY-MM-DD,,href=javascript,#contents > form tbody > tr:nth-of-type(1) > td,#contents > form tbody > tr:nth-of-type(5) > td,#contents > form tbody > tr:nth-of-type(2) > td.td012,#contents > form tbody > tr:nth-of-type(2) > td.td012,,#downloadList > tbody > tr > td > a,,
20118,기타,국가과학기술자문회의,공지사항,https://www.pacst.go.kr/cop/bbs/selectUserBoardList.do?bbsId=BBSMSTR_000000000012&leftMenuId=com_sub1,Y,,,div.table_style table > tbody > tr,td.left a,td:nth-of-type(4),YYYY-MM-DD,,onclick,,,,,,,,
20119,행정안전부,한국소방산업기술원,공지사항,http://www.kfi.or.kr/home/brd/brd230/brd230_Type1_Lis.do?board_seq=12,Y,tr에 th도 포함,tr th,li.pd_t4 table.board_tb tr,td:nth-of-type(2) a,td:nth-of-type(4),YYYY.MM.DD,,href=javascript,,,,,,,,
20120,행정안전부,한국소방산업기술원,입찰공고,http://www.kfi.or.kr/home/brd/brd230/brd230_Type4_Lis.do?board_seq=14,Y,tr에 th도 포함,tr th,li.pd_t4 table.board_tb tr,td:nth-of-type(2) a,td:nth-of-type(3),YYYY.MM.DD,,href=javascript,,,,,,,,
